품명,가격,이미지 url
양파(3개),1000,https://www.istockphoto.com/photo/golden-onions-gm683508570-125450963?utm_source=pixabay&utm_medium=affiliate&utm_campaign=sponsored_image&utm_content=srp_grid_media&utm_term=%EC%96%91%ED%8C%8C
양파(1개),500,https://www.istockphoto.com/photo/onion-isolated-on-white-gm1496008525-518816935?utm_source=pixabay&utm_medium=affiliate&utm_campaign=sponsored_image&utm_content=srp_topbanner_media&utm_term=%EC%96%91%ED%8C%8C
당근(5개),2000,https://pixabay.com/photos/carrots-vegetables-market-food-1508847/
감자(10개),3000,https://pixabay.com/photos/potatoes-vegetables-tuber-1585075/
,,
,,
,,
,,
,,
,,
